Odonimo,Codvia,ID_Piante,img_1,img_2,img_3,img_4,img_5,img_6
Viale Emilia,17510,"001, 004, 014, 033, 033, 061",img/viale_emilia/viale_emilia_001.jpg,img/viale_emilia/viale_emilia_004.jpg,img/viale_emilia/viale_emilia_014.jpg,img/viale_emilia/viale_emilia_033.jpg,img/viale_emilia/viale_emilia_033_1.jpg,img/viale_emilia/viale_emilia_061.jpg
Via Pignatelli Aragona,35670,"001, 002, 009, 011, 032, 039",img/via_p_aragona/via_p_aragona_001.jpg,img/via_p_aragona/via_p_aragona_002.jpg,img/via_p_aragona/via_p_aragona_009.jpg,img/via_p_aragona/via_p_aragona_011.jpg,img/via_p_aragona/via_p_aragona_032.jpg,img/via_p_aragona/via_p_aragona_039.jpg
Via Delle Croci,14910,"005, 010, 024, 034, 041, 046",img/via_delle_croci/via_delle_croci_005.jpg,img/via_delle_croci/via_delle_croci_010.jpg,img/via_delle_croci/via_delle_croci_024.jpg,img/via_delle_croci/via_delle_croci_034.jpg,img/via_delle_croci/via_delle_croci_041.jpg,img/via_delle_croci/via_delle_croci_050.jpg
Via Scoto Michele,47450,"001, 002, 003, 004, 005, 025",img/via_scoto/via_scoto_001.jpg,img/via_scoto/via_scoto_002.jpg,img/via_scoto/via_scoto_003.jpg,img/via_scoto/via_scoto_004.jpg,img/via_scoto/via_scoto_005.jpg,img/via_scoto/via_scoto_025.jpg
Viale Dei Picciotti - A,35410,"006, 007, 013, 024, 028, 031",img/viale_picciotti/viale_picciotti_006.jpg,img/viale_picciotti/viale_picciotti_007.jpg,img/viale_picciotti/viale_picciotti_013.jpg,img/viale_picciotti/viale_picciotti_024.jpg,img/viale_picciotti/viale_picciotti_028.jpg,img/viale_picciotti/viale_picciotti_031.jpg
Viale Dei Picciotti - B,354100,"038, 048, 050, 056, 060, 065",img/viale_picciotti/viale_picciotti_038.jpg,img/viale_picciotti/viale_picciotti_048.jpg,img/viale_picciotti/viale_picciotti_050.jpg,img/viale_picciotti/viale_picciotti_056.jpg,img/viale_picciotti/viale_picciotti_060.jpg,img/viale_picciotti/viale_picciotti_065.jpg
Via Rizzo Ammiraglio - A,41870,"005, 015, 022, 095, 101, 113",img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_005.jpg,img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_015.jpg,img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_022.jpg,img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_095.jpg,img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_101.jpg,img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_113.jpg
Via Rizzo Ammiraglio - B,418700,"030,  048, 055, 062, 067, 084",img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_030.jpg,img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_048.jpg,img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_055.jpg,img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_062.jpg,img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_067.jpg,img/Via_Rizzo_Ammiraglio/Via_Rizzo_Ammiraglio_084.jpg
Via Principe Di Belmonte,38850,,,,,,,
Viale Michelangelo,28160,,,,,,,
Viale Regina Margherita,41390,,,,,,,
Viale Galatea,19960,,,,,,,
Viale Principe Umberto,38960,,,,,,,
Via Oreto,32350,,,,,,,
Via Rapisardi Mario,41130,,,,,,,
Via Giusti Giuseppe,21540,,,,,,,
Via Corazza Filippo,13740,,,,,,,
